Country Name,Series Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Pakistan,Arable land (% of land area),PAK,..,39.66894977,39.81164384,39.86353259,40.4732254,41.61477792,41.84827729,41.91313823,41.5239726,39.61706102,39.82461602,39.33167289,39.35761727,40.48619759,39.60408883,39.9543379,39.51328352,39.7467829,40.40836447,40.27864259,41.65369448,40.42133665,42.9898298,40.2656704,41.65369448,41.13480697,39.09817352,40.53808634,38.81278539,39.44842258,38.5922582,38.67009132,38.81278539,39.2149232,39.24086758,39.51328352,39.63003321,40.2656704,40.3694479,40.35647572,40.2656704,40.60294728,40.49916978,40.46025322,39.31870071,39.13709008,39.33167289,39.15006227,38.21606476,38.16417601,38.12525944,39.04628477,39.22789539,39.52625571,39.48733914,39.43545039,40.20080946,40.48619759,40.42133665,39.60408883,40.12297634,39.57814446,..
United States,Arable land (% of land area),USA,..,19.72167146,19.3357106,19.60637452,19.43080874,19.32533825,19.18394665,19.05096212,19.76206906,20.66217125,20.60659726,20.54163355,20.47666984,20.4226244,20.3595168,20.3595168,20.3595168,20.36825142,20.60878091,20.60878091,20.60878091,20.60878091,20.50069003,20.50069003,20.50069003,20.50069003,20.50069003,20.27981343,20.27981343,20.27806651,20.27260737,20.27260737,20.09835178,19.95292042,19.86459161,19.85367334,19.54435875,19.38997441,19.30153642,19.14715208,19.14096609,19.1444588,18.87999459,18.63488221,18.393077,18.14800828,17.90293956,17.65787084,17.53778661,17.38971207,17.24163753,17.09356299,16.94548845,17.00516648,17.06484451,17.12451161,17.18418964,17.24385674,17.24385674,17.24385674,17.24385674,17.24385674,..
United Kingdom,Arable land (% of land area),GBR,..,29.6573389,29.90947795,30.0706816,30.39722234,30.33522093,30.27321953,30.21121812,30.07894846,29.60773778,29.35559873,29.47960154,29.46720126,29.2439962,29.21092878,28.39251023,28.49584591,28.60744844,28.66944984,28.22717315,28.59504815,28.54958046,28.57438102,28.51651304,28.61158186,28.8926549,28.68598355,28.66531641,28.46277849,27.70222792,27.3632869,27.14421527,27.09048072,25.17670401,24.43268714,24.53602282,25.20563799,26.32166329,25.84631918,24.4574877,24.2880172,23.35799611,23.91600876,23.39106353,24.05241185,23.68040342,25.18910429,25.15190344,24.82122928,25.00310007,24.67655934,25.05683462,25.67684868,25.89757368,25.76571736,24.84602984,24.90807465,25.1431381,24.95675361,25.15437689,24.71170256,24.84108709,..
Japan,Arable land (% of land area),JPN,..,15.43496046,15.32587947,15.18952822,15.08044723,14.93864194,14.87046632,14.66321244,14.50777202,14.0769021,14.16962094,13.97600218,13.79432624,13.67975996,13.57883252,13.49249659,13.42701228,13.40338428,13.36790393,13.32423581,13.30603331,13.2669214,13.24959039,13.22501365,13.26021387,13.2473944,13.2163422,13.2035107,13.18156884,13.1431706,13.07734504,13.00054855,12.92923752,12.8496983,12.78113001,12.69884805,12.6255144,12.53497942,12.44170096,12.35390947,12.27434842,12.1920439,12.12345679,12.06310014,12.01371742,11.96159122,11.91495199,11.86831276,11.81893004,11.78052126,11.74759945,11.67078189,11.64883402,11.62688615,11.5829904,11.53635117,11.478738,11.41563786,11.36351166,11.31412894,11.25925926,11.20987654,..
China,Arable land (% of land area),CHN,..,10.92855431,10.89659947,10.87529625,10.85399302,10.82736399,10.77943174,10.728304,10.67717626,10.62604852,10.57492078,10.52911885,10.48012143,10.43005885,10.48757756,10.33099885,10.31111584,10.29123284,10.27134983,10.25744947,10.24418821,10.30969563,10.8326898,11.42918009,12.14283812,12.79258648,12.83519293,12.80323809,12.87779938,13.01627034,13.18669614,13.30120097,13.09083162,12.92040583,12.85649615,12.73721166,12.71155479,12.67962651,12.67965314,12.67967977,12.6797199,12.74298198,12.78493429,12.80558261,12.82623053,12.85220495,12.88883063,12.88284996,12.90882344,12.9294708,12.79608011,12.6413861,12.49734374,12.39590802,12.31364527,12.23564319,12.08450102,11.93335755,11.78221407,11.62756266,11.60625934,11.59560768,..
Russian Federation,Arable land (% of land area),RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.054203948,7.905320215,7.839534397,7.784652695,7.694731212,7.782448492,7.699755209,7.625769518,7.592419179,7.561457446,7.537113255,7.481786804,7.45646084,7.43410663,7.423124314,7.423124314,7.428098287,7.428098287,7.428098287,7.428098287,7.428098287,7.428098287,7.428098287,7.428098287,7.428098287,7.428098287,7.428098287,7.428098287,7.428098287,7.428098287,..
Nigeria,Arable land (% of land area),NGA,..,25.99558615,26.15698804,26.31948791,26.4808898,26.64229169,26.80479155,26.96619344,27.1286933,27.29009519,27.45149708,27.61399695,27.77539884,27.93680073,28.09930059,28.26070248,28.42210437,28.58460424,28.74600613,28.90740802,29.06990788,29.23130977,29.39380963,29.55521152,29.71661342,29.87911328,30.04051517,30.17446776,30.42700133,30.62024441,30.82446721,31.84118932,33.04895857,33.04895857,34.03713341,36.1232803,36.34287471,36.45267191,37.33104955,38.4290216,38.4290216,39.1438014,39.18442636,39.2184635,39.2535986,39.28763574,39.32277084,39.35680798,39.39194308,40.48442527,39.46111532,39.49515245,39.53028756,39.56432469,39.5994598,39.63349693,39.66863204,39.70266917,39.9881419,40.48442527,40.48442527,40.48442527,..
Pakistan,Forest area (% of land area),PAK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.468957555,6.407270911,6.345584267,6.283897623,6.22221098,6.160524336,6.098837692,6.037151048,5.975464404,5.91377776,5.852091117,5.797928342,5.743765567,5.689602792,5.635440017,5.581277242,5.527114467,5.472951692,5.418788917,5.364626142,5.310463367,5.268659195,5.226855023,5.185050851,5.143246679,5.101442507,5.017953508,4.99418846,4.940561436,4.886934413,4.833307389,4.779680365,..
United States,Forest area (% of land area),USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.02230821,33.03416545,33.04602269,33.05787993,33.06973718,33.08159442,33.09345166,33.1053089,33.11716614,33.12902338,33.13017359,33.18675561,33.24333764,33.29991967,33.35650169,33.41308372,33.46966575,33.52624777,33.6360635,33.69273522,33.74940694,33.77947006,33.80953318,33.8395963,33.86965942,33.89972254,33.89972254,33.86692641,33.86692641,33.86692641,33.86692641,33.86692641,..
United Kingdom,Forest area (% of land area),GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.48266027,11.55540859,11.6281569,11.70090522,11.77365354,11.84640185,11.91915017,11.99189848,12.0646468,12.13739511,12.21014343,12.25354441,12.2969454,12.34034638,12.38374736,12.42714835,12.47054933,12.51395032,12.5573513,12.60075228,12.64415327,12.72351507,12.80287687,12.88223866,12.96160046,13.04096226,13.05749597,13.07816311,13.11536395,13.15256479,13.18563221,13.22145538,..
Japan,Forest area (% of land area),JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.43115743,68.41086122,68.390565,68.37026879,68.34997257,68.32967636,68.32812071,68.30781893,68.28751715,68.26721536,68.24691358,68.27160494,68.2962963,68.32098765,68.34567901,68.37037037,68.39506173,68.41975309,68.44444444,68.4691358,68.49382716,68.48175583,68.4696845,68.45761317,68.44554184,68.43347051,68.42249657,68.40877915,68.40877915,68.40877915,68.40877915,68.40877915,..
China,Forest area (% of land area),CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.73800655,16.94954715,17.16108774,17.37262834,17.58416893,17.79572849,18.00728849,18.21882953,18.43037058,18.64191163,18.85347276,19.10496812,19.3564539,19.60793869,19.85942287,20.11090813,20.36239278,20.61387789,20.86536169,21.11684505,21.36832885,21.57462737,21.78092589,21.9872244,22.19352292,22.39982144,22.63049793,22.83070681,23.03091218,23.23111754,23.4313229,23.63152827,..
Russian Federation,Forest area (% of land area),RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.36034704,49.37364779,49.39021068,49.40105187,49.40426402,49.40412793,49.39808074,49.37829247,49.40184991,49.44038194,49.47468949,49.51038522,49.54544561,49.58077733,49.6276507,49.66347433,49.70193816,49.73776369,49.77358921,49.77108397,49.76857873,49.76607349,49.76356825,49.76106301,49.77269955,49.78433608,49.78433608,49.78433608,49.78433608,49.78433608,..
Nigeria,Forest area (% of land area),NGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.1249053,28.94560097,28.76629665,28.58699233,28.407688,28.22838368,28.04907935,27.86977503,27.6904707,27.51116638,27.33186205,27.15255663,26.97325121,26.79394578,26.61464036,26.43533494,26.25602951,26.07672409,25.89741867,25.71811324,25.53880782,25.3595024,25.18019698,25.00089155,24.82158613,24.64228071,24.46297957,24.28368304,24.1043842,23.92508537,23.74578653,23.5664877,..
Pakistan,Electric power consumption (kWh per capita),PAK,..,..,..,..,..,..,..,..,..,..,..,91.72325576,89.33032889,99.38458402,105.292328,109.06102,105.7653763,107.9348617,119.1747539,136.4986817,131.7100676,141.4378952,151.318145,162.0217361,174.2907023,188.7943471,202.7260925,215.383833,240.0622304,247.6216031,258.7639467,276.1830059,310.3488821,311.4301409,320.0429844,330.2646754,329.8798607,331.549646,312.9654845,322.169567,334.1713118,336.3444574,340.9288436,362.734925,379.1475138,408.7179131,429.4491316,423.9010749,389.6425442,403.154329,408.0029046,399.3399124,396.2694237,426.4343998,419.6845943,..,..,..,..,..,..,..,..
